a	(-AH0_)
blakenham	(B L-EY1_)(K-AH0_N)(HH-AE2_M)
blakenship	(B L-EY1_)(K-AH0_N)(SH-IH0_P)
blaker	(B L-EY1_)(K-ER0_)
blakes	(B L-EY1_K S)
blakeslee	(B L-EY1_K)(S L-IY0_)
blakesley	(B L-EY1_K)(S L-IY0_)
blakey	(B L-EY1_)(K-IY0_)
blakley	(B L-AE1_)(K L-IY0_)
blakney	(B L-AE1_K)(N-IY0_)
blalack	(B L-AE1_)(L-AH0_K)
blalock	(B L-AE1_)(L-AA0_K)
blame	(B L-EY1_M)
blamed	(B L-EY1_M D)
blameless	(B L-EY1_M)(L-AH0_S)
blames	(B L-EY1_M Z)
blaming	(B L-EY1_)(M-IH0_NG)
blampied	(B L-AE1_M)(P-IY0_D)
blan	(B L-AE1_N)
blanc	(B L-AE1_NG K)
blanca	(B L-AA1_NG)(K-AH0_)
blancett	(B L-AE1_N)(S-IH0_T)
blanch	(B L-AE1_N CH)
blanchard	(B L-AE1_N)(CH-ER0_D)
blanchards	(B L-AE1_N)(CH-ER0_D Z)
blanche	(B L-AE1_N CH)
blanchet	(B L-AE1_N)(K-IH0_T)
blanchett	(B L-AE1_N)(CH-IH0_T)
blanchette	(B L-AH0_N)(SH-EH1_T)
blanchfield	(B L-AE1_NCH)(F-IY2_L D)
blanck	(B L-AE1_NG K)
blanco	(B L-AE1_NG)(K-OW0_)
bland	(B L-AE1_N D)
blanda	(B L-AE1_N)(D-AH0_)
blander	(B L-AE1_N)(D-ER0_)
blandford	(B L-AE1_ND)(F-AO0_R D)
blandin	(B L-AE1_N)(D-IH0_N)
blanding	(B L-AE1_N)(D-IH0_NG)
blandino	(B L-AA0_N)(D-IY1_)(N-OW0_)
blandishment	(B L-AE1_N)(D-IH0_SH)(M-AH0_N T)
blandishments	(B L-AE1_N)(D-IH0_SH)(M-AH0_N T S)
blandly	(B L-AE1_ND)(L-IY0_)
blandness	(B L-AE1_ND)(N-AH0_S)
blando	(B L-AE1_N)(D-OW0_)
blandon	(B L-AE1_N)(D-IH0_N)
blane	(B L-EY1_N)
blaney	(B L-EY1_)(N-IY0_)
blanford	(B L-AE1_N)(F-ER0_D)
blank	(B L-AE1_NG K)
blanke	(B L-AE1_NG K)
blanked	(B L-AE1_NG K T)
blanken	(B L-AE1_NG)(K-AH0_N)
blankenbaker	(B L-AE1_NG)(K-AH0_N)(B-EY2_)(K-ER0_)
blankenbeckler	(B L-AE1_NG)(K-AH0_N)(B-EH2_)(K L-ER0_)
blankenburg	(B L-AE1_NG)(K-AH0_N)(B-ER0_G)
blankenhorn	(B L-AE1_NG)(K-IH0_N)(HH-ER0_N)
blankenship	(B L-AE1_NG)(K-AH0_N)(SH-IH2_P)
blanket	(B L-AE1_NG)(K-AH0_T)
blanketed	(B L-AE1_NG)(K-AH0_)(T-IH0_D)
blanketing	(B L-AE1_NG)(K-AH0_)(T-IH0_NG)
blankets	(B L-AE1_NG)(K-AH0_T S)
blanking	(B L-AE1_NG)(K-IH0_NG)
blankinship	(B L-AE1_NG)(K-IH0_N)(SH-IH0_P)
blankley	(B L-AE1_NG)(K L-IY0_)
blankly	(B L-AE1_NG)(K L-IY0_)
blanks	(B L-AE1_NG K S)
blann	(B L-AE1_N)
blanquita	(B L-AA0_N)(K-IY1_)(T-AH0_)
blansett	(B L-AE1_N)(S-IH0_T)
blanton	(B L-AE1_N)(T-AH0_N)
blare	(B L-EH1_R)
blared	(B L-EH1_R D)
blares	(B L-EH1_R Z)
blaring	(B L-EH1_)(R-IH0_NG)
blas	(B L-AA1_S)
blaschke	(B L-AE1_SH K)
blasco	(B L-AA1_)(S K-OW0_)
blasdel	(B L-AE1_S)(D-AH0_L)
blasdell	(B L-AE1_S)(D-AH0_L)
blase	(B L-EY1_Z)
blaser	(B L-EY1_)(Z-ER0_)
blasi	(B L-EY1_)(Z-IY0_)
blasia	(B L-AA1_)(S-IY0_)(-AH0_)
blasier	(B L-EY1_)(Z-IY0_)(-ER0_)
blasing	(B L-EY1_)(Z-IH0_NG)
blasingame	(B L-AA0_)(S-IH0_NG)(G-AA1_)(M-IY0_)
blasini	(B L-AH0_)(S-IY1_)(N-IY0_)
blasius	(B L-EY1_)(S-IY0_)(-IH0_S)
blaske	(B L-EY1_S K)
blasko	(B L-AA1_)(S K-OW0_)
blasphemous	(B L-AE1_)(S F-AH0_)(M-AH0_S)
blasphemy	(B L-AE1_)(S F-AH0_)(M-IY0_)
blass	(B L-AE1_S)
blassingame	(B L-AA0_)(S-IH0_NG)(G-AA1_)(M-IY0_)
blast	(B L-AE1_S T)
blastdown	(B L-AE1_ST)(D-AW2_N)
blasted	(B L-AE1_)(S T-AH0_D)
blaster	(B L-AE1_)(S T-ER0_)
blasting	(B L-AE1_)(S T-IH0_NG)
blastoff	(B L-AE1_)(S T-AO2_F)
blasts	(B L-AE1_S T S)
blaszak	(B L-AA1_)(SH-AH0_K)
blaszczyk	(B L-AA1_SH)(CH-IH0_K)
blatant	(B L-EY1_)(T-AH0_N T)
blatantly	(B L-EY1_)(T-AH0_NT)(L-IY0_)
blatchford	(B L-AE1_CH)(F-ER0_D)
blatchley	(B L-AE1_CH)(L-IY0_)
blather	(B L-AE1_)(DH-ER0_)
blatnik	(B L-AE1_T)(N-IH0_K)
blatt	(B L-AE1_T)
blatter	(B L-AE1_)(T-ER0_)
blattner	(B L-AE1_T)(N-ER0_)
blatz	(B L-AE1_T S)
blau	(B L-AW1_)
blauch	(B L-AO1_CH)
blauer	(B L-AW1_R)
blaum	(B L-AO1_M)
blauser	(B L-AW1_)(S-ER0_)
blaustein	(B L-AW1_)(S T-AY0_N)
blauvelt	(B L-AW1_)(V-IH0_L T)
blay	(B L-EY1_)
blaydes	(B L-EY1_D Z)
blaydon	(B L-EY1_)(D-AH0_N)
blaylock	(B L-EY1_)(L-AH0_K)
blayne	(B L-EY1_N)
blayney	(B L-EY1_)(N-IY0_)
blayze	(B L-EY1_Z)
blaze	(B L-EY1_Z)
blazed	(B L-EY1_Z D)
blazejewski	(B L-AH0_)(Z-EY0_)(-EH1_F)(S K-IY0_)
blazek	(B L-AA1_)(Z-EH0_K)
blazer	(B L-EY1_)(Z-ER0_)
blazers	(B L-EY1_)(Z-ER0_Z)
blazes	(B L-EY1_)(Z-IH0_Z)
blazier	(B L-EY1_)(Z-IY0_)(-ER0_)
blazina	(B L-AA0_)(Z-IY1_)(N-AH0_)
blazing	(B L-EY1_)(Z-IH0_NG)
blea	(B L-IY1_)
bleach	(B L-IY1_CH)
bleached	(B L-IY1_CH T)
bleacher	(B L-IY1_)(CH-ER0_)
bleachers	(B L-IY1_)(CH-ER0_Z)
bleaching	(B L-IY1_)(CH-IH0_NG)
bleak	(B L-IY1_K)
bleaker	(B L-IY1_)(K-ER0_)
bleakest	(B L-IY1_)(K-AH0_S T)
bleakley	(B L-IY1_)(K L-IY0_)
bleakness	(B L-IY1_K)(N-AH0_S)
bleakney	(B L-IY1_K)(N-IY0_)
bleam	(B L-IY1_M)
bleary	(B L-IH1_)(R-IY0_)
bleau	(B L-OW1_)
blech	(B L-EH1_K)
blecha	(B L-EH1_)(CH-AH0_)
blecher	(B L-EH1_)(K-ER0_)
blechley	(B L-EH1_)(K L-IY0_)
blechman	(B L-EH1_K)(M-AH0_N)
bleck	(B L-EH1_K)
blecker	(B L-EH1_)(K-ER0_)
bled	(B L-EH1_D)
bledsoe	(B L-EH1_D)(S-OW0_)
bleecker	(B L-IY1_)(K-ER0_)
bleed	(B L-IY1_D)
bleeding	(B L-IY1_)(D-IH0_NG)
bleeds	(B L-IY1_D Z)
bleeker	(B L-IY1_)(K-ER0_)
bleep	(B L-IY1_P)
bleeping	(B L-IY1_)(P-IH0_NG)
blegen	(B L-EH1_)(G-AH0_N)
blehm	(B L-EH1_M)
bleich	(B L-AY1_K)
bleicher	(B L-AY1_)(K-ER0_)
bleier	(B L-AY1_)(-ER0_)
bleil	(B L-IY1_L)
bleiler	(B L-AY1_)(L-ER0_)
blelloch	(B L-EH1_)(L-AA0_K)
blemish	(B L-EH1_)(M-IH0_SH)
blemished	(B L-EH1_)(M-IH0_SH T)
blemishes	(B L-EH1_)(M-IH0_)(SH-IH0_Z)
blend	(B L-EH1_N D)
blenda	(B L-EH1_N)(D-AH0_)
blendax	(B L-EH1_N)(D-AE2_K S)
blended	(B L-EH1_N)(D-AH0_D)
blender	(B L-EH1_N)(D-ER0_)
blenders	(B L-EH1_N)(D-ER0_Z)
blending	(B L-EH1_N)(D-IH0_NG)
blends	(B L-EH1_N D Z)
blenheim	(B L-EH1_N)(HH-AY2_M)
blepharisma	(B L-EH2_)(F-ER0_)(-IH1_Z)(M-AH0_)
bleser	(B L-IY1_)(Z-ER0_)
bless	(B L-EH1_S)
blessed	(B L-EH1_S T)
blesses	(B L-EH1_)(S-IH0_Z)
blessing	(B L-EH1_)(S-IH0_NG)
blessinger	(B L-EH1_)(S-IH0_N)(G-ER0_)
blessings	(B L-EH1_)(S-IH0_NG Z)
blessington	(B L-EH1_)(S-IH0_NG)(T-AH0_N)
blest	(B L-EH1_S T)
blethen	(B L-EH1_)(TH-AH0_N)
bleu	(B L-UW1_)
blevens	(B L-IY1_)(V-AH0_N Z)
blevins	(B L-EH1_)(V-IH0_N Z)
blew	(B L-UW1_)
blewett	(B L-UW1_)(-IH0_T)
blewitt	(B L-UW1_)(-IH0_T)
bley	(B L-EY1_)
blick	(B L-IH1_K)
blickenstaff	(B L-IH1_)(K-IH0_N)(S T-AH0_F)
bligh	(B L-AY1_)
blight	(B L-AY1_T)
blighted	(B L-AY1_)(T-IH0_D)
bliley	(B L-AY1_)(L-IY0_)
blimp	(B L-IH1_M P)
blimps	(B L-IH1_M P S)
blincoe	(B L-IH0_N)(K-OW1_)
blind	(B L-AY1_N D)
blinded	(B L-AY1_N)(D-IH0_D)
blinder	(B L-AY1_N)(D-ER0_)
blinders	(B L-AY1_N)(D-ER0_Z)
blindfold	(B L-AY1_ND)(F-OW2_L D)
blindfolded	(B L-AY1_ND)(F-OW2_L)(D-IH0_D)
blinding	(B L-AY1_N)(D-IH0_NG)
blindly	(B L-AY1_ND)(L-IY0_)
blindness	(B L-AY1_ND)(N-AH0_S)
blinds	(B L-AY1_N D Z)
blindside	(B L-AY1_ND)(S-AY2_D)
blindsided	(B L-AY1_ND)(S-AY2_)(D-IH0_D)
blink	(B L-IH1_NG K)
blinked	(B L-IH1_NG K T)
blinking	(B L-IH1_NG)(K-IH0_NG)
blinks	(B L-IH1_NG K S)
blinn	(B L-IH1_N)
blip	(B L-IH1_P)
blips	(B L-IH1_P S)
bliscoll	(B L-IH1_)(S K-AO0_L)
blish	(B L-IH1_SH)
bliss	(B L-IH1_S)
blissett	(B L-IH1_)(S-IH0_T)
blissful	(B L-IH1_)(S F-AH0_L)
blissfully	(B L-IH1_)(S F-AH0_)(L-IY0_)
blister	(B L-IH1_)(S T-ER0_)
blistered	(B L-IH1_)(S T-ER0_D)
blistering	(B L-IH1_)(S T-ER0_)(-IH0_NG)
blisters	(B L-IH1_)(S T-ER0_Z)
blitch	(B L-IH1_CH)
blithe	(B L-AY1_DH)
blithely	(B L-AY1_TH)(L-IY0_)
blitstein	(B L-IH1_T)(S T-IY0_N)
blitz	(B L-IH1_T S)
blitzed	(B L-IH1_T S T)
blitzer	(B L-IH1_T)(Z-ER0_)
blitzes	(B L-IH1_T)(S-IH0_Z)
blitzkrieg	(B L-IH1_T)(S K R-IY2_G)
bliven	(B L-AY1_)(V-AH0_N)
blixt	(B L-IH1_K S T)
blizard	(B L-IH1_)(Z-ER0_D)
blizzard	(B L-IH1_)(Z-ER0_D)
blizzards	(B L-IH1_)(Z-ER0_D Z)
bloat	(B L-OW1_T)
bloated	(B L-OW1_)(T-IH0_D)
bloating	(B L-OW1_)(T-IH0_NG)
blob	(B L-AA1_B)
blobby	(B L-AA1_)(B-IY0_)
blobs	(B L-AA1_B Z)
bloc	(B L-AA1_K)
bloch	(B L-AA1_K)
blocher	(B L-AA1_)(K-ER0_)
block	(B L-AA1_K)
blockade	(B L-AA2_)(K-EY1_D)
blockaded	(B L-AA2_)(K-EY1_)(D-IH0_D)
blockades	(B L-AA2_)(K-EY1_D Z)
blockading	(B L-AA2_)(K-EY1_)(D-IH0_NG)
blockage	(B L-AA1_)(K-IH0_JH)
blockages	(B L-AA1_)(K-IH0_)(JH-IH0_Z)
blockbuster	(B L-AA1_K)(B-AH2_)(S T-ER0_)
blockbusters	(B L-AA1_K)(B-AH2_)(S T-ER0_Z)
blocked	(B L-AA1_K T)
blocker	(B L-AA1_)(K-ER0_)
blockers	(B L-AA1_)(K-ER0_Z)
blocking	(B L-AA1_)(K-IH0_NG)
blocks	(B L-AA1_K S)
blocs	(B L-AA1_K S)
blodgett	(B L-AA1_)(JH-IH0_T)
bloedel	(B L-OW1_)(D-AH0_L)
bloedorn	(B L-OW1_)(D-ER0_N)
bloem	(B L-OW1_M)
bloemer	(B L-OW1_)(M-ER0_)
bloemker	(B L-OW1_M)(K-ER0_)
blohm	(B L-OW1_M)
blok	(B L-AA1_K)
bloke	(B L-OW1_K)
blokes	(B L-OW1_K S)
blom	(B L-AA1_M)
blomberg	(B L-AA1_M)(B-ER0_G)
blome	(B L-OW1_M)
blomgren	(B L-AA1_M)(G R-EH0_N)
blomquist	(B L-AA1_M)(K W-IH2_S T)
blomstrom	(B L-AA1_M)(S T R-AH0_M)
blond	(B L-AA1_N D)
blonde	(B L-AA1_N D)
blondell	(B L-AA1_N)(D-AH0_L)
blonder	(B L-AA1_N)(D-ER0_)
blondes	(B L-AA1_N D Z)
blondie	(B L-AA1_N)(D-IY0_)
blondin	(B L-AA1_N)(D-IH0_N)
blonds	(B L-AA1_N D Z)
blood	(B L-AH1_D)
bloodbath	(B L-AH1_D)(B-AE2_TH)
blooded	(B L-AH1_)(D-IH0_D)
bloodgood	(B L-AH1_D)(G-UH2_D)
bloodhound	(B L-AH1_D)(HH-AW0_N D)
bloodhounds	(B L-AH1_D)(HH-AW0_N D Z)
bloodied	(B L-AH1_)(D-IY0_D)
bloodier	(B L-AH1_)(D-IY0_)(-ER0_)
bloodiest	(B L-AH1_)(D-IY0_)(-AH0_S T)
bloodless	(B L-AH1_D)(L-AH0_S)
bloodletting	(B L-AH1_D)(L-EH2_)(T-IH0_NG)
bloodline	(B L-AH1_D)(L-AY2_N)
bloodlines	(B L-AH1_D)(L-AY2_N Z)
bloods	(B L-AH1_D Z)
bloodshed	(B L-AH1_D)(SH-EH2_D)
bloodstain	(B L-AH1_D)(S T-EY2_N)
bloodstained	(B L-AH1_D)(S T-EY2_N D)
bloodstains	(B L-AH1_D)(S T-EY2_N Z)
bloodstone	(B L-AH1_D)(S T-OW2_N)
bloodstream	(B L-AH1_D)(S T R-IY2_M)
bloodsucker	(B L-AH1_D)(S-AH2_)(K-ER0_)
bloodsuckers	(B L-AH1_D)(S-AH2_)(K-ER0_Z)
bloodsucking	(B L-AH1_D)(S-AH2_)(K-IH0_NG)
bloodsworth	(B L-AH1_DZ)(W-ER2_TH)
bloodthirsty	(B L-AH1_D)(TH-ER2_)(S T-IY0_)
bloodworth	(B L-AH1_)(D W-ER2_TH)
bloody	(B L-AH1_)(D-IY0_)
bloom	(B L-UW1_M)
bloomberg	(B L-UW1_M)(B-ER0_G)
bloomed	(B L-UW1_M D)
bloomer	(B L-UW1_)(M-ER0_)
bloomers	(B L-UW1_)(M-ER0_Z)
bloomfield	(B L-UW1_M)(F-IY2_L D)
blooming	(B L-UW1_)(M-IH0_NG)
bloomingdale	(B L-UW1_)(M-IH0_NG)(D-EY2_L)
bloomingdales	(B L-UW1_)(M-IH0_NG)(D-EY2_L Z)
bloomington	(B L-UW1_)(M-IH0_NG)(T-AH0_N)
bloomquist	(B L-UW1_M)(K W-IH2_S T)
blooms	(B L-UW1_M Z)
blooper	(B L-UW1_)(P-ER0_)
bloopers	(B L-UW1_)(P-ER0_Z)
bloor	(B L-UH1_R)
blose	(B L-OW1_Z)
bloss	(B L-AO1_S)
blosser	(B L-AO1_)(S-ER0_)
blossom	(B L-AA1_)(S-AH0_M)
blossomed	(B L-AA1_)(S-AH0_M D)
blossoming	(B L-AA1_)(S-AH0_)(M-IH0_NG)
blossoms	(B L-AA1_)(S-AH0_M Z)
blot	(B L-AA1_T)
blotnick	(B L-AA1_T)(N-IH0_K)
blots	(B L-AA1_T S)
blotter	(B L-AA1_)(T-ER0_)
blouch	(B L-AW1_CH)
blough	(B L-AW1_)
blouin	(W-IY1_N)
blount	(B L-AW1_N T)
blouse	(B L-AW1_S)
blouses	(B L-AW1_)(S-AH0_Z)
blow	(B L-OW1_)
blowe	(B L-OW1_)
blowed	(B L-OW1_D)
blower	(B L-OW1_)(-ER0_)
blowers	(B L-OW1_)(-ER0_Z)
blowfish	(B L-OW1_)(F-IH0_SH)
blowing	(B L-OW1_)(-IH0_NG)
blown	(B L-OW1_N)
blowout	(B L-OW1_)(-AW2_T)
blowouts	(B L-OW1_)(-AW2_T S)
blows	(B L-OW1_Z)
blowtorch	(B L-OW1_)(T-AO2_R CH)
blowup	(B L-OW1_)(-AH2_P)
blowy	(B L-OW1_)(-IY0_)
bloxham	(B L-AA1_K)(S-AH0_M)
bloxom	(B L-AA1_K)(S-AH0_M)
bloxsom	(B L-AA1_K)(S-AH0_M)
bloyd	(B L-OY1_D)
bloyer	(B L-OY1_)(-ER0_)
blubaugh	(B L-AH1_)(B-AO0_)
blubber	(B L-AH1_)(B-ER0_)
bludgeon	(B L-AH1_)(JH-AH0_N)
bludgeoned	(B L-AH1_)(JH-AH0_N D)
bludgeoning	(B L-AH1_)(JH-AH0_)(N-IH0_NG)
blue	(B L-UW1_)
blueberries	(B L-UW1_)(B-EH2_)(R-IY0_Z)
blueberry	(B L-UW1_)(B-EH2_)(R-IY0_)
bluebird	(B L-UW1_)(B-ER2_D)
bluebonnet	(B L-UW1_)(B-AA2_)(N-AH0_T)
bluebonnets	(B L-UW1_)(B-AA2_)(N-AH0_T S)
bluechip	(B L-UW1_)(CH-IH2_P)
bluefield	(B L-UW1_)(F-IY2_L D)
bluegrass	(B L-UW1_)(G R-AE2_S)
bluejay	(B L-UW1_)(JH-EY2_)
bluemel	(B L-UH1_)(M-AH0_L)
blueprint	(B L-UW1_)(P R-IH2_N T)
blueprints	(B L-UW1_)(P R-IH2_N T S)
bluer	(B L-UW1_)(-ER0_)
blues	(B L-UW1_Z)
bluest	(B L-UW1_)(-AH0_S T)
bluestein	(B L-UH1_)(S T-AY0_N)
bluestine	(B L-UW1_)(S T-AY2_N)
bluestone	(B L-UW1_)(S T-OW2_N)
bluett	(B L-UW1_T)
bluey	(B L-UW1_)(-IY0_)
bluff	(B L-AH1_F)
bluffed	(B L-AH1_F T)
bluffing	(B L-AH1_)(F-IH0_NG)
bluffs	(B L-AH1_F S)
bluford	(B L-UW1_)(F-ER0_D)
bluhdorn	(B L-AH1_)(D-AO2_R N)
bluhm	(B L-AH1_M)
bluing	(B L-UW1_)(-IH0_NG)
bluish	(B L-UW1_)(-IH0_SH)
bluitt	(B L-UW1_T)
blum	(B L-UW1_M)
blumberg	(B L-AH1_M)(B-ER0_G)
blume	(B L-UW1_M)
blumenberg	(B L-UW1_)(M-EH0_N)(B-ER0_G)
blumenfeld	(B L-UW1_)(M-IH0_N)(F-EH0_L D)
blumenschein	(B L-AH1_)(M-IH0_N)(SH-AY0_N)
blumenshine	(B L-AH1_)(M-IH0_N)(SH-AY0_N)
blumenstein	(B L-UW1_)(M-EH0_N)(S T-AY0_N)
blumenstock	(B L-UW1_)(M-EH0_N)(S T-AA0_K)
blumenthal	(B L-UW1_)(M-AH0_N)(TH-AO2_L)
blumer	(B L-UW1_)(M-ER0_)
blumstein	(B L-AH1_M)(S T-AY0_N)
blunck	(B L-AH1_NG K)
blundall	(B L-AH1_N)(D-AH0_L)
blundell	(B L-AH1_N)(D-AH0_L)
blunder	(B L-AH1_N)(D-ER0_)
blundered	(B L-AH1_N)(D-ER0_D)
blundering	(B L-AH1_N)(D-ER0_)(-IH0_NG)
blunders	(B L-AH1_N)(D-ER0_Z)
blunk	(B L-AH1_NG K)
blunt	(B L-AH1_N T)
blunted	(B L-AH1_N)(T-AH0_D)
blunter	(B L-AH1_N)(T-ER0_)
bluntest	(B L-AH1_N)(T-AH0_S T)
blunting	(B L-AH1_N)(T-IH0_NG)
bluntly	(B L-AH1_NT)(L-IY0_)
bluntness	(B L-AH1_NT)(N-AH0_S)
blunts	(B L-AH1_N T S)
blur	(B L-ER1_)
blurb	(B L-ER1_B)
blurbs	(B L-ER1_B Z)
blurred	(B L-ER1_D)
blurring	(B L-ER1_)(-IH0_NG)
blurry	(B L-ER1_)(-IY0_)
blurs	(B L-ER1_Z)
blurt	(B L-ER1_T)
blurted	(B L-ER1_)(T-IH0_D)
blurton	(B L-ER1_)(T-AH0_N)
blurts	(B L-ER1_T S)
blush	(B L-AH1_SH)
blushed	(B L-AH1_SH T)
blushes	(B L-AH1_)(SH-AH0_Z)
blushing	(B L-AH1_)(SH-IH0_NG)
blust	(B L-AH1_S T)
bluster	(B L-AH1_)(S T-ER0_)
blustering	(B L-AH1_)(S T-ER0_)(-IH0_NG)
blustery	(B L-AH1_)(S T-ER0_)(-IY0_)
bluth	(B L-UW1_TH)
blvd	(B-UH1_)(L-AH0_)(V-AA2_R D)
bly	(B L-AY1_)
blye	(B L-AY1_)
blyler	(B L-AY1_)(L-ER0_)
blystone	(B L-AY1_)(S T-OW2_N)
blyth	(B L-IH1_TH)
blythe	(B L-AY1_DH)
bo	(B-OW1_)
boa	(B-OW1_)(-AH0_)
boak	(B-OW1_K)
boake	(B-OW1_K)
boal	(B-OW1_L)
boals	(B-OW1_L Z)
boan	(B-OW1_N)
boar	(B-AO1_R)
board	(B-AO1_R D)
boarda	(B-AO1_R)(D-AH0_)
boardbent	(B-AO1_RD)(B-EH2_N T)
boarded	(B-AO1_R)(D-AH0_D)
boarder	(B-AO1_R)(D-ER0_)
boarders	(B-AO1_R)(D-ER0_Z)
boarding	(B-AO1_R)(D-IH0_NG)
boardinghouse	(B-AO1_R)(D-IH0_NG)(HH-AW2_S)
boardinghouses	(B-AO1_R)(D-IH0_NG)(HH-AW2_)(S-IH0_Z)
boardings	(B-AO1_R)(D-IH0_NG Z)
boardman	(B-AO1_RD)(M-AH0_N)
boardroom	(B-AO1_R)(D R-UW2_M)
boardrooms	(B-AO1_R)(D R-UW2_M Z)
boards	(B-AO1_R D Z)
boardwalk	(B-AO1_R)(D W-AO2_K)
boarman	(B-AO1_R)(M-AH0_N)
boart	(B-AO1_R T)
boas	(B-OW1_)(-AH0_Z)
boase	(B-OW1_Z)
boast	(B-OW1_S T)
boasted	(B-OW1_)(S T-AH0_D)
boastful	(B-OW1_ST)(F-AH0_L)
boasting	(B-OW1_)(S T-IH0_NG)
boasts	(B-OW1_S T S)
boat	(B-OW1_T)
boated	(B-OW1_)(T-IH0_D)
boaters	(B-OW1_)(T-ER0_Z)
boathouse	(B-OW1_T)(HH-AW1_S)
boating	(B-OW1_)(T-IH0_NG)
boatlift	(B-OW1_T)(L-IH2_F T)
boatlifts	(B-OW1_T)(L-IH2_F T S)
boatload	(B-OW1_T)(L-OW2_D)
boatloads	(B-OW1_T)(L-OW2_D Z)
boatman	(B-OW1_T)(M-AH0_N)
boatner	(B-OW1_T)(N-ER0_)
boatright	(B-OW1_)(T R-AY2_T)
boats	(B-OW1_T S)
boatwright	(B-OW1_)(T R-AY2_T)
boatyard	(B-OW1_T)(Y-AA2_R D)
boaz	(B-OW1_)(-AE0_Z)
bob	(B-AA1_B)
boback	(B-OW1_)(B-AE2_K)
bobadilla	(B-OW0_)(B-AA0_)(D-IH1_)(L-AH0_)
bobak	(B-OW1_)(B-AH0_K)
bobb	(B-AA1_B)
bobber	(B-AA1_)(B-ER0_)
bobbett	(B-AA1_)(B-IH0_T)
bobbette	(B-AA1_)(B-EH1_T)
bobbi	(B-AA1_)(B-IY0_)
bobbie	(B-AA1_)(B-IY0_)
bobbin	(B-AA1_)(B-AH0_N)
bobbing	(B-AA1_)(B-IH0_NG)
bobbinger	(B-AA1_)(B-IH0_N)(G-ER0_)
bobbitt	(B-AA1_)(B-IH0_T)
bobbitts	(B-AA1_)(B-IH0_T S)
bobbo	(B-AA1_)(B-OW0_)
bobby	(B-AA1_)(B-IY0_)
bobcat	(B-AA1_B)(K-AE2_T)
bobcats	(B-AA1_B)(K-AE2_T Z)
bobe	(B-OW1_B)
bobeck	(B-OW1_)(B-EH2_K)
bobek	(B-OW1_)(B-IH0_K)
bober	(B-AA1_)(B-ER0_)
boberg	(B-OW1_)(B-ER0_G)
bobick	(B-AA1_)(B-IH0_K)
bobier	(B-OW1_)(B-IY0_)(-ER0_)
bobinski	(B-AH0_)(B-IH1_N)(S K-IY0_)
boblitt	(B-AH0_)(B L-IH1_T)
bobo	(B-OW1_)(B-OW0_)
bobolas	(B-OW1_)(B-OW0_)(L-AH0_S)
bobrow	(B-AA1_)(B R-OW2_)
bobrowski	(B-AH0_)(B R-AO1_F)(S K-IY0_)
bobsled	(B-AA1_B)(S L-EH2_D)
bobst	(B-AA1_B S T)
bobzien	(B-AA1_B)(Z-IY0_N)
boca	(B-OW1_)(K-AH0_)
bocanegra	(B-OW2_)(K-AH0_)(N-EH1_)(G R-AH0_)
bocce	(B-OW1_)(CH-IY0_)
bocchino	(B-OW2_)(K-IY1_)(N-OW0_)
boccia	(B-OW1_)(CH-AH0_)
boccio	(B-OW1_)(CH-IY0_)(-OW0_)
boccuzzi	(B-OW0_)(K-UW1_T)(S-IY0_)
bocek	(B-OW1_)(CH-EH2_K)
boch	(B-AA1_K)
bocharov	(B-AA1_)(CH-ER0_)(-AA0_V)
bochco	(B-AA1_CH)(K-OW0_)
boche	(B-AA1_CH)
bochenek	(B-AA1_)(K-IH0_)(N-IH0_K)
boches	(B-AA1_)(CH-IH0_Z)
bochicchio	(B-OW0_)(K-IY1_)(K-IY0_)(-OW0_)
bochner	(B-AA1_K)(N-ER0_)
bochram	(B-AA1_)(K R-AH0_M)
bocian	(B-OW1_)(SH-AH0_N)
bock	(B-AA1_K)
bockelman	(B-AA1_)(K-AH0_L)(M-AH0_N)
bockius	(B-AA1_)(K-IY0_)(-AH0_S)
bockman	(B-AA1_K)(M-AH0_N)
bockus	(B-AA1_)(K-AH0_S)
bocock	(B-AA1_)(K-AH0_K)
bocook	(B-AA1_)(K-UH0_K)
boda	(B-OW1_)(D-AH0_)
bodamer	(B-AA1_)(D-AH0_)(M-ER0_)
bodanis	(B-OW0_)(D-AA1_)(N-IH0_S)
bodden	(B-AA1_)(D-AH0_N)
boddie	(B-AA1_)(D-IY0_)
boddington	(B-AA1_)(D-IH0_NG)(T-AH0_N)
boddy	(B-AA1_)(D-IY0_)
bode	(B-OW1_D)
bodegas	(B-OW0_)(D-EY1_)(G-AH0_S)
bodell	(B-AH0_)(D-EH1_L)
boden	(B-OW1_)(D-AH0_N)
bodenhamer	(B-AA1_)(D-IH0_N)(HH-AH0_)(M-ER0_)
bodenheimer	(B-AA1_)(D-IH0_N)(HH-AY0_)(M-ER0_)
bodenstein	(B-OW1_)(D-AH0_N)(S T-AY1_N)
bodensteiner	(B-OW1_)(D-AH0_N)(S T-AY1_)(N-ER0_)
bodes	(B-OW1_D Z)
bodey	(B-OW1_)(D-IY0_)
bodi	(B-OW1_)(D-IY0_)
bodie	(B-OW1_)(D-IY0_)
bodied	(B-AA1_)(D-IY0_D)
bodies	(B-AA1_)(D-IY0_Z)
bodikova	(B-AA2_)(D-IH0_)(K-OW1_)(V-AH0_)
bodily	(B-AA1_)(D-AH0_)(L-IY0_)
bodin	(B-OW1_)(D-IH0_N)
